,Empty_droplet_sum,Cell_sum,Soup_probability,Selected
ESCO1,1956.0,1188.0,0.6221374045801527,True
TFPI2,293864.0,84850.0,0.7759523017369307,False
RAPGEF5,50.0,30.0,0.625,True
AC008705.1,1.0,0.0,1.0,False
MBTD1,1800.0,1161.0,0.60790273556231,True
REPIN1,1308.0,735.0,0.6402349486049926,False
SETDB2,292.0,182.0,0.6160337552742616,True
SMAP1,2507.0,1470.0,0.6303746542620066,True
ATAT1,394.0,228.0,0.6334405144694534,False
TRIM42,6.0,0.0,1.0,False
USP10,6043.0,3368.0,0.6421209223249389,False
MUC3A,129.0,89.0,0.591743119266055,True
LINC02054,3.0,0.0,1.0,False
ENTPD3-AS1,411.0,214.0,0.6576,False
AC108047.1,6.0,4.0,0.6,True
MEIS3,9.0,4.0,0.6923076923076923,False
AC114684.1,4.0,0.0,1.0,False
HIBCH,1224.0,772.0,0.6132264529058116,True
AC025470.2,2.0,0.0,1.0,False
HPSE,1627.0,828.0,0.6627291242362525,False
LINC01611,3.0,3.0,0.5,True
AC117498.2,10.0,5.0,0.6666666666666666,False
CFLAR-AS1,83.0,63.0,0.5684931506849316,True
AL451062.1,5.0,5.0,0.5,True
AL451085.2,40.0,18.0,0.6896551724137931,False
SMOC1,32.0,22.0,0.5925925925925926,True
UTS2R,1.0,0.0,1.0,False
MYO1F,192.0,120.0,0.6153846153846154,True
AC104653.1,7.0,5.0,0.5833333333333334,True
RAB14,13495.0,7669.0,0.6376393876393877,False
AC011676.3,1.0,0.0,1.0,False
AC007952.4,2271.0,1518.0,0.599366587490103,True
ZNF700,226.0,137.0,0.6225895316804407,True
COPB1,9507.0,4689.0,0.6696956889264581,False
MTERF3,375.0,194.0,0.6590509666080844,False
AC002553.1,57.0,51.0,0.5277777777777778,True
PRRC2A,3847.0,1882.0,0.6714958980624891,False
AP000547.3,1398.0,750.0,0.6508379888268156,False
OR52N5,15.0,14.0,0.5172413793103449,True
NPAS1,52.0,26.0,0.6666666666666666,False
THG1L,486.0,292.0,0.6246786632390745,True
PRPF19,2518.0,1152.0,0.6861035422343325,False
ANAPC13,3458.0,1770.0,0.6614384085692425,False
ANKRD33,233.0,68.0,0.7740863787375415,False
AC098614.4,3.0,0.0,1.0,False
TIMM22,1941.0,1021.0,0.6553004726536125,False
XAB2,1601.0,737.0,0.6847733105218136,False
PRKAB1,770.0,361.0,0.6808134394341291,False
GEMIN7,1173.0,755.0,0.608402489626556,True
PCDHGA10,109.0,85.0,0.5618556701030928,True
PPP3CB,1273.0,616.0,0.6739015352038116,False
HORMAD2-AS1,11.0,4.0,0.7333333333333333,False
AC103746.1,6.0,3.0,0.6666666666666666,False
PRPF6,5835.0,3262.0,0.6414202484335495,False
OR52B6,1.0,0.0,1.0,False
CADM2,776.0,422.0,0.6477462437395659,False
GNG2,5.0,3.0,0.625,True
AC116447.1,7.0,3.0,0.7,False
CD8B,1.0,0.0,1.0,False
RFLNA,214.0,96.0,0.6903225806451613,False
TIAF1,46.0,26.0,0.6388888888888888,False
LINC01544,1.0,0.0,1.0,False
MSTN,10.0,8.0,0.5555555555555556,True
GPD2,1730.0,942.0,0.6474550898203593,False
KCNS2,1.0,0.0,1.0,False
TTLL9,14.0,4.0,0.7777777777777778,False
PGK1,22149.0,12516.0,0.6389441800086543,False
LINC02225,1.0,0.0,1.0,False
FCRLA,22.0,16.0,0.5789473684210527,True
FREM2-AS1,2.0,0.0,1.0,False
AC068228.1,1.0,0.0,1.0,False
LINC00960,75.0,33.0,0.6944444444444444,False
LINC01060,1.0,0.0,1.0,False
FAM167A,221.0,27.0,0.8911290322580645,False
ERBB3,5973.0,4008.0,0.5984370303576796,True
ITPKB,277.0,143.0,0.6595238095238095,False
TTC36,17.0,11.0,0.6071428571428571,True
INTS11,2781.0,1651.0,0.6274819494584838,True
HINT2,3273.0,1827.0,0.6417647058823529,False
CD180,2.0,0.0,1.0,False
AC011451.1,40.0,29.0,0.5797101449275363,True
CAPN5,107.0,58.0,0.6484848484848484,False
AL772363.1,2.0,0.0,1.0,False
DPH6-DT,13.0,8.0,0.6190476190476191,True
VWA2,6.0,3.0,0.6666666666666666,False
SMAD5,3009.0,1932.0,0.6089860352155434,True
SCHIP1,39.0,30.0,0.5652173913043478,True
C12orf65,1536.0,977.0,0.6112216474333466,True
L3HYPDH,599.0,332.0,0.6433941997851772,False
CXXC5,845.0,330.0,0.7191489361702128,False
EHD3,1790.0,690.0,0.7217741935483871,False
AC007879.3,11.0,7.0,0.6111111111111112,True
RPS18,427219.0,251907.0,0.6290717775493796,True
ELOF1,1968.0,1107.0,0.64,False
PACRG,5.0,3.0,0.625,True
USP43,2622.0,1396.0,0.6525634644101543,False
HTRA1,86664.0,51426.0,0.627590701716272,True
FANCF,389.0,222.0,0.6366612111292962,False
SCPEP1,2175.0,1521.0,0.588474025974026,True
TRGV9,17.0,6.0,0.7391304347826086,False
ZNF165,1388.0,614.0,0.6933066933066933,False
TECPR2,1111.0,585.0,0.6550707547169812,False
DNAJC27,334.0,154.0,0.6844262295081968,False
MACROD2,150.0,112.0,0.5725190839694656,True
ALPG,44.0,19.0,0.6984126984126984,False
BID,330.0,195.0,0.6285714285714286,True
UNC93B1,2532.0,1482.0,0.6307922272047832,True
SDCBP2,157.0,97.0,0.6181102362204725,True
AC012615.1,111.0,79.0,0.5842105263157895,True
AD000090.1,3.0,0.0,1.0,False
SNAPC3,1205.0,655.0,0.6478494623655914,False
ACOX2,12.0,0.0,1.0,False
PNPLA6,1897.0,1137.0,0.6252471984179301,True
CATIP-AS2,3.0,0.0,1.0,False
MDC1,635.0,316.0,0.6677181913774973,False
AL592071.1,15.0,11.0,0.5769230769230769,True
AC079226.2,8.0,5.0,0.6153846153846154,True
AC007128.2,2.0,0.0,1.0,False
ARHGEF16,5394.0,3333.0,0.6180818150567206,True
APBB1IP,2126.0,1330.0,0.6151620370370371,True
MAN1A1,967.0,705.0,0.5783492822966507,True
AC008758.4,53.0,31.0,0.6309523809523809,True
GLIS2,1005.0,357.0,0.737885462555066,False
ROBO3,13.0,7.0,0.65,False
AP001347.1,27.0,20.0,0.574468085106383,True
RAB17,678.0,403.0,0.6271970397779834,True
IFNB1,23.0,20.0,0.5348837209302325,True
ANAPC4,806.0,480.0,0.6267496111975117,True
CD4,1.0,0.0,1.0,False
CPNE4,6.0,3.0,0.6666666666666666,False
AL138899.1,10.0,7.0,0.5882352941176471,True
ERFE,7.0,4.0,0.6363636363636364,False
PWAR6,1.0,0.0,1.0,False
MIOX,29.0,19.0,0.6041666666666666,True
PHF19,41.0,29.0,0.5857142857142857,True
SPRED3,74.0,44.0,0.6271186440677966,True
YWHAZ,68388.0,35712.0,0.6569452449567723,False
AC026786.2,1.0,0.0,1.0,False
AC011446.2,258.0,149.0,0.6339066339066339,False
AL096855.1,1.0,0.0,1.0,False
NUDT14,2735.0,1612.0,0.6291695422130205,True
AC006450.2,1.0,0.0,1.0,False
GABRR1,44.0,23.0,0.6567164179104478,False
LRP6,510.0,345.0,0.5964912280701754,True
RIOK3,16503.0,10156.0,0.6190404741363142,True
FRRS1L,9.0,4.0,0.6923076923076923,False
AP002770.1,3.0,0.0,1.0,False
AC099062.1,92.0,55.0,0.6258503401360545,True
AL499616.1,1.0,0.0,1.0,False
ZBTB38,9772.0,5181.0,0.6535143449475022,False
AC011611.2,3.0,0.0,1.0,False
OTOGL,249.0,70.0,0.780564263322884,False
AL592466.1,1.0,0.0,1.0,False
NRXN2,102.0,59.0,0.6335403726708074,False
CCER1,2.0,0.0,1.0,False
ZNF426-DT,37.0,26.0,0.5873015873015873,True
