"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"FOXP2",4.30893935635206e-11,0.695601171099482,0.00651319765002485,0.390394752742755,1,0.126774688137878,0.545634492386339,1,1,0.0445474961171655,1.15574517481816e-10,0.902285945299124,0.0147772548833897,0.559405036947326,1,0.59006159993586,0.6145669638444,1,1,0.157343500031344,6.59994178817526,0.391275867680636,2.72129762472702,0.858936774310942,0,1.52706456107377,0.604334002306878,0,0,2.00914006366346
"SREBF1",0.0990648513406315,1,0.00088593879303495,0.168939374480118,1,0.229852761425215,0.0014162537325044,1,1,0.342502536067257,0.118317077167207,1,0.00249244113773833,0.320106105371657,1,0.742330601949801,0.00352789330837667,1,1,0.566068160132047,1.6495484455456,0,3.32538942451939,1.37571330603833,0,1.20080713129312,3.19215688330614,0,0,0.949274593621952
"SREBF2",0.00620931222274691,1,0.00245918492357557,0.256601194080608,1,0.541286496584864,0.0124025004418681,1,1,0.226197198856298,0.00887244839051646,1,0.00625166287800537,0.417904211631561,1,0.892276959214112,0.0250024929289889,1,1,0.446052420174568,2.73706439972694,0,3.0290428005435,1.13452204763184,0,0.610888430164887,2.50090661624422,0,0,1.21028302714244
"THAP1",1,1,1,1,0.0091149837648232,0.530217442382902,3.78726210351305e-06,0.55494071191448,0.143117021941497,0.0163897846862568,1,1,1,1,0.0549503306965056,0.892276959214112,1.45293146152955e-05,0.734890105945326,0.258837356825622,0.0691648913760037,0,0,0,0,2.60818923661564,0.627694682802573,4.6251592740693,0.590391555285897,1.46438980427565,2.40049944566411
"KLF5",1,1,1,1,3.26983715177864e-08,0.308230131702095,2.80708663535685e-79,2.80682556789215e-15,6.68266736242482e-16,1.54858475338397e-10,1,1,1,1,3.0425371900966e-06,0.80890815303033,1.77688584018089e-76,3.55344116895146e-13,6.04304062916416e-14,1.56367319233287e-08,0,0,0,0,5.5304369596449,1.01899159121905,19.0114373961165,7.91099116503155,8.08876674961831,6.40682810885348
"DMRT3",7.79661226614425e-20,1,1.02718761651624e-08,0.011546211162008,1,0.316552474194428,1,1,1,1,2.95524285297564e-19,1,9.42332987325766e-08,0.0462579219338676,1,0.80890815303033,1,1,1,1,9.13402235290334,0,5.73072755601,2.52615610360728,0,1.00161475451279,0,0,0,0
"FOXG1",6.57618212104289e-06,0.181047549170488,0.00178750222235724,0.197187106182384,1,0.0101493773453864,0.125152317541169,1,1,0.600015694415436,1.24632433611382e-05,0.726674483099627,0.00473426320816793,0.35662696632414,1,0.178459884989711,0.186403334126024,1,1,0.777845908736634,4.50922224898115,1.33762425566882,3.12422983332252,1.28968782332277,0,2.57115778730201,1.53362237702331,0,0,0.524393655605982
"LBX1",0.00106512289577055,1,0.376149703195178,0.183183956268026,0.0444332048520365,0.239987147228616,1,1,1,0.610834362042768,0.00166064727345506,1,0.475255014216662,0.336102737152639,0.163524527158948,0.761213589749917,1,1,1,0.777984207591694,3.27363591645252,0,0.885049935829809,1.33110206268584,2.01021905006417,1.17508466097732,0,0,0,0.50889787746514
"NFATC3",0.00267514672414149,1,0.697107071882288,0.846343483324703,1,0.762424472512886,0.0300455045097727,0.217121099779311,1,4.5027620941482e-05,0.00396573273157274,1,0.764763910747813,0.914224274649381,1,0.950947305136128,0.0546884012085449,0.428154692088174,1,0.000606435830977832,3.00349961311111,0,0.38923910156805,0.193790682109437,0,0.302306318099499,2.16978096678017,1.23429275504939,0,4.08173436380869
"POU6F1",0.00381096998803615,0.524463034344333,0.413012928034091,0.0253679571608619,0.537505902126721,0.587531062324712,1,1,1,1,0.00554561839638364,0.831294128522143,0.509624139270136,0.0836349837647166,0.761166076166027,0.905053472814689,1,1,1,1,2.8940362443631,0.636501905309991,0.818635177249214,2.23606818871918,0.616608923525832,0.542433801169307,0,0,0,0
