"","motif","view","factor","padj"
"455","TFAP4(var.2)","ATAC_all","Factor1",1
"456","TGIF2LX","ATAC_all","Factor1",1
"457","TGIF2LY","ATAC_all","Factor1",1
"458","THAP11","ATAC_all","Factor1",0.000272727430658749
"459","THRB","ATAC_all","Factor1",0.0395608127877729
"460","THRB(var.2)","ATAC_all","Factor1",0.840241614513895
"461","THRB(var.3)","ATAC_all","Factor1",0.113290108538865
"462","TLX2","ATAC_all","Factor1",0.360764250214055
"463","VEZF1","ATAC_all","Factor1",0.472383530823433
"464","ZBTB26","ATAC_all","Factor1",0.3960842633571
"465","ZBTB32","ATAC_all","Factor1",1
"466","ZBTB6","ATAC_all","Factor1",9.47319330944771e-05
"467","ZFP57","ATAC_all","Factor1",0.463505386631816
"468","ZIC5","ATAC_all","Factor1",0.0176758239722947
"469","ZKSCAN1","ATAC_all","Factor1",1
"470","ZNF135","ATAC_all","Factor1",0.384682365907967
"471","ZNF136","ATAC_all","Factor1",1
"472","ZNF140","ATAC_all","Factor1",0.13160338347626
"473","ZNF274","ATAC_all","Factor1",0.668264935535328
"474","ZNF317","ATAC_all","Factor1",0.312189436830527
"475","ZNF382","ATAC_all","Factor1",1
"476","ZNF460","ATAC_all","Factor1",0.00181047909816725
"477","ZNF528","ATAC_all","Factor1",0.0162456050005684
"478","ZNF682","ATAC_all","Factor1",2.81556883877618e-05
"479","ZNF684","ATAC_all","Factor1",0.000309289372508673
"480","ZNF75D","ATAC_all","Factor1",0.0219619955152316
"481","ZSCAN29","ATAC_all","Factor1",0.187711925101525
"482","ASCL1","ATAC_all","Factor1",1
"483","ATF3","ATAC_all","Factor1",0.115735503378812
"484","BARHL1","ATAC_all","Factor1",0.827654323107571
"485","BATF::JUN","ATAC_all","Factor1",1
"486","BCL6","ATAC_all","Factor1",1
"487","CDX1","ATAC_all","Factor1",1
"488","E2F2","ATAC_all","Factor1",0.0311197590436984
"489","E2F3","ATAC_all","Factor1",0.0676706099083319
"490","E2F4","ATAC_all","Factor1",0.0407824082863486
"491","EMX1","ATAC_all","Factor1",0.87110701609594
"492","FOXD2","ATAC_all","Factor1",0.617197830589119
"493","GATA5","ATAC_all","Factor1",1
"494","GFI1","ATAC_all","Factor1",0.749110912877691
"495","GLI2","ATAC_all","Factor1",5.8878902248095e-05
"496","GSX2","ATAC_all","Factor1",0.427103822621859
"497","HES1","ATAC_all","Factor1",4.08355617993684e-07
"498","HES2","ATAC_all","Factor1",0.398596274100052
"499","HOXA13","ATAC_all","Factor1",0.88333596806086
"500","HOXA2","ATAC_all","Factor1",1
"501","HOXA5","ATAC_all","Factor1",1
"502","HOXA9","ATAC_all","Factor1",1
"503","HOXB2","ATAC_all","Factor1",0.251807068695717
"504","HOXB5","ATAC_all","Factor1",1
"505","HOXC9","ATAC_all","Factor1",1
"506","HOXD13","ATAC_all","Factor1",0.972608727047827
"507","HOXD3","ATAC_all","Factor1",0.931677557938378
"508","HOXD8","ATAC_all","Factor1",1
"509","HOXD9","ATAC_all","Factor1",0.910654230635894
"510","JUNB(var.2)","ATAC_all","Factor1",0.00330886555016616
"511","LHX9","ATAC_all","Factor1",1
"512","LMX1A","ATAC_all","Factor1",1
