,id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin
1283,CPI-CS017A50010,BMR1A_AVR2B_BMP8A,complex:BMR1A_AVR2B,simple:Q7Z5Y6,,BMP8A,True,True,False,user_curated,False
1284,CPI-CS01319F57A,BMR1B_AVR2A_BMP8A,complex:BMR1B_AVR2A,simple:Q7Z5Y6,,BMP8A,True,True,False,user_curated,False
1285,CPI-CS03DF8BD36,BMR1B_AVR2B_BMP8A,complex:BMR1B_AVR2B,simple:Q7Z5Y6,,BMP8A,True,True,False,user_curated,False
1286,CPI-CC045C36F28,ACVR_1A2A receptor_Activin ligand ab,complex:ACVR_1A2A receptor,complex:Activin ligand ab,,,True,True,False,curated,False
1287,CPI-CC09863F59B,ACVR_1A2B receptor_Activin ligand ab,complex:ACVR_1A2B receptor,complex:Activin ligand ab,,,True,True,False,curated,False
1288,CPI-CC0104F2A96,ACVR_1B2A receptor_Activin ligand ab,complex:ACVR_1B2A receptor,complex:Activin ligand ab,,,True,True,False,curated,False
1289,CPI-CC072007F09,ACVR_1B2B receptor_Activin ligand ab,complex:ACVR_1B2B receptor,complex:Activin ligand ab,,,True,True,False,curated,False
1290,CPI-CC0947744F4,ACVR_1C2A receptor_Activin ligand ab,complex:ACVR_1C2A receptor,complex:Activin ligand ab,,,True,True,False,curated,False
1291,CPI-CC0B6E6E341,ACVR_1C2B receptor_Activin ligand ab,complex:ACVR_1C2B receptor,complex:Activin ligand ab,,,True,True,False,curated,False
1292,CPI-CS091BF99D0,ACVR_1A2A receptor_INHBA,complex:ACVR_1A2A receptor,simple:P08476,,INHBA,True,True,False,curated,False
1293,CPI-CS04DD927C9,ACVR_1A2B receptor_INHBA,complex:ACVR_1A2B receptor,simple:P08476,,INHBA,True,True,False,curated,False
1294,CPI-CS0533A30DC,ACVR_1B2A receptor_INHBA,complex:ACVR_1B2A receptor,simple:P08476,,INHBA,True,True,False,curated,False
1295,CPI-CS0C159B54D,ACVR_1B2B receptor_INHBA,complex:ACVR_1B2B receptor,simple:P08476,,INHBA,True,True,False,curated,False
1296,CPI-CS0924060DB,ACVR_1C2A receptor_INHBA,complex:ACVR_1C2A receptor,simple:P08476,,INHBA,True,True,False,curated,False
1297,CPI-CS0B79F5D68,ACVR_1C2B receptor_INHBA,complex:ACVR_1C2B receptor,simple:P08476,,INHBA,True,True,False,curated,False
1298,CPI-CS073233FCC,ACVR_1A2A receptor_INHBB,complex:ACVR_1A2A receptor,simple:P09529,,INHBB,True,True,False,curated,False
1299,CPI-CS048465560,ACVR_1A2B receptor_INHBB,complex:ACVR_1A2B receptor,simple:P09529,,INHBB,True,True,False,curated,False
1300,CPI-CS02899BF8B,ACVR_1B2A receptor_INHBB,complex:ACVR_1B2A receptor,simple:P09529,,INHBB,True,True,False,curated,False
