gene_name,uniprot,hgnc_symbol,ensembl
TTLL8,A6PVC2,TTLL8,ENSG00000138892
TTL,Q8NG68,TTL,ENSG00000114999
HARS2,P49590,HARS2,ENSG00000112855
TTYH3,Q9C0H2,TTYH3,ENSG00000136295
HARS,P12081,HARS,ENSG00000170445
TUFT1,Q9NNX1,TUFT1,ENSG00000143367
TULP1,O00294,TULP1,ENSG00000112041
TULP2,O00295,TULP2,ENSG00000104804
TULP3,O75386,TULP3,ENSG00000078246
TULP4,Q9NRJ4,TULP4,ENSG00000130338
TUSC1,Q2TAM9,TUSC1,ENSG00000198680
TUSC2,O75896,TUSC2,ENSG00000114383
