,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ZNF595,0.094450645,0.096913405,0.406492,0.13380788,0.083126426,0.10873531
POGZ,0.13395192,0.2168021,0.2758734,0.20479533,0.3646132,0.29423082
ZNF518A,0.31883577,0.52127993,0.3718269,0.33226195,0.8559852,0.567051
MEF2D,0.044126254,0.093436375,0.17242484,0.071922235,0.3259148,0.10571626
ARNTL,0.017962182,0.026921859,0.0,0.05004442,0.1675711,0.033493485
ADNP2,0.07504831,0.12903014,0.077555686,0.13159841,0.1409788,0.13490047
ZNF181,0.006114651,0.0078522535,0.0,0.009758008,0.0,0.009088334
NONO,0.55914104,0.3745384,0.14353383,0.5816575,0.33919054,0.3005755
ZSCAN30,0.02549224,0.0671645,0.17166984,0.028949624,0.07078214,0.09911333
GABPA,0.09534556,0.119514786,0.30416703,0.14670156,0.17914009,0.17752615
ZNF772,0.0048974105,0.004395176,0.0,0.006557232,0.0,0.0029476432
CIC,0.027488668,0.05355376,0.0,0.049184874,0.0779646,0.056994773
ZNF714,0.15696287,0.14780457,0.11352691,0.16638933,0.23674367,0.15026563
NCOA3,0.3767563,0.63841194,1.3767987,0.6702134,0.80620515,0.9390967
ZNF559,0.02133881,0.01422466,0.0,0.02315377,0.0,0.0069542117
PBX2,0.10581909,0.12266407,0.0,0.1634203,0.112757154,0.12587689
ZNF254,0.23480394,0.34324068,0.044371255,0.2083092,0.83342564,0.45326537
JDP2,0.050047535,0.06122142,0.04864013,0.06678223,0.05269005,0.044965804
NFKB2,0.07498754,0.108079225,0.063614905,0.08688488,0.089385524,0.11897653
ZBTB6,0.008496769,0.01779818,0.063885026,0.017211866,0.013062594,0.017630555
ZNF569,0.046436127,0.061934363,0.11352691,0.03518741,0.25740233,0.062095124
SOX4,1.1256739,1.1727716,1.0655618,0.6032322,1.3356231,1.1172895
ZNF655,0.18071729,0.1442088,0.0,0.17966077,0.1561584,0.1587785
ZNF777,0.029478226,0.053171936,0.0,0.045175668,0.06752566,0.0864946
ZNF611,0.14829332,0.19519924,0.10798616,0.18075632,0.8963045,0.24626228
TCF7L2,1.647389,2.4372594,3.1236422,1.0480077,3.5494177,3.012276
ARNTL2,0.042484194,0.07495456,0.11407664,0.10532523,0.09104743,0.12222527
ZNF823,0.086531594,0.06661692,0.12009518,0.13356245,0.18959592,0.097330384
ZNF587,0.07113558,0.102102965,0.10259155,0.092338964,0.18896052,0.11012574
ZNF543,0.006985602,0.00435051,0.0,0.0130242575,0.0,0.006463716
ZNF160,0.09409101,0.13594699,0.1575623,0.110076554,0.3625709,0.18381524
ZFP30,0.050081637,0.060482487,0.04906867,0.05271465,0.0967563,0.07506785
THAP7,0.12269837,0.06508056,0.19074674,0.13778867,0.014172805,0.048889898
ZNF414,0.06882907,0.0677434,0.0,0.08393679,0.11960546,0.051179506
MAFF,0.20028077,0.2685106,0.21323922,0.26807213,0.26047745,0.23354997
