,EVT_1,EVT_2,GC,VCT,VCT_CCC,eEVT,iEVT
ID3,0.4517932,0.65995467,0.73673266,0.15152009,0.262459,1.1309645,0.32662117
ETV6,0.71504533,0.8742716,0.468054,1.419182,1.0472645,0.7931844,0.80136627
CREB3L2,1.4931387,1.7316532,1.2353958,1.0876313,1.2131093,2.2388191,1.6114713
E2F1,0.07575425,0.0051410412,0.033485316,0.06736596,0.16277872,0.0,0.0050345347
ZNF148,0.89654315,0.9142701,0.41103584,1.1041478,0.98927134,0.9870166,0.88045084
TADA2A,0.40058646,0.21444157,0.16564503,0.40088597,0.41036296,0.19182767,0.22691888
ZNF682,0.24385598,0.1750396,0.084175356,0.33256787,0.16640463,0.11625733,0.09756149
NPAS3,0.07465426,0.07479598,0.006587712,0.5959959,0.2236175,0.05684497,0.092187025
FOXJ2,0.031388454,0.029333273,0.12132186,0.065578915,0.06814704,0.014421942,0.04196351
BHLHE40,0.21270405,0.18617012,0.11210226,0.1265784,0.23912469,0.0717705,0.093862906
ID1,0.30416146,0.42377934,0.1738562,0.058872666,0.076512896,0.3258726,0.17616133
SP140L,0.25554967,0.3536086,0.29611385,0.21853301,0.17526822,0.23119293,0.2850924
DLX4,0.10324233,0.05857528,0.120520025,0.042425267,0.059452236,0.07163878,0.0792025
ZNF487,0.11750974,0.15825918,0.019226586,0.04054872,0.082323045,0.10925261,0.089489944
ZNF44,0.11467056,0.124958195,0.08177365,0.48835102,0.29337606,0.22907569,0.10066602
ZNF85,0.13409749,0.07178964,0.06232453,0.1290698,0.1272481,0.080590345,0.04367664
SMARCC2,0.33924165,0.2755091,0.17086256,0.23363267,0.23656872,0.30271134,0.2573074
DMTF1,0.5282149,0.46239564,0.24793659,0.8264997,0.5953894,0.6225913,0.41172814
ZNF726,0.22311702,0.0892035,0.013375992,0.14864469,0.19619249,0.043031503,0.05206745
ZBED4,0.2740606,0.3048529,0.12851803,0.18055469,0.2754351,0.30258974,0.24951363
ZNF461,0.10465768,0.16155393,0.046767466,0.12480443,0.100287504,0.15846556,0.11936287
ZNF429,0.20809491,0.15760535,0.10206936,0.29160836,0.19448534,0.1671059,0.13589191
ZNF586,0.33988398,0.37100023,0.18557559,0.48828962,0.44916216,0.5194394,0.33722323
TBX20,0.1606987,0.12663588,0.12128436,0.070388556,0.09640763,0.075057656,0.115744665
ZBTB2,0.13808322,0.19219387,0.05489278,0.063199885,0.08735017,0.07197779,0.16898967
KDM5C,0.23910363,0.306916,0.30014196,0.25350463,0.30926254,0.21169254,0.25664353
FOSB,0.36180374,0.67890227,0.66765094,0.16105005,0.37177578,0.20232682,0.5433149
ZBTB38,0.36692357,0.41256648,0.50593394,0.5408441,0.37176892,0.482958,0.5065156
ZFHX3,1.141985,1.0055436,0.9651103,1.5573293,1.4576999,1.1487367,1.267006
TBX1,0.08801951,0.15942012,0.03608926,0.0064170174,0.026499128,0.2762392,0.14977354
ATF6,0.5695226,0.5939184,0.47972333,0.5919325,0.5072478,0.76402783,0.5083521
HIF1A,0.835348,0.5885627,0.45152086,0.43178546,0.6347332,0.7866419,0.5810647
SSRP1,0.12226391,0.06430622,0.06223676,0.12637235,0.16691628,0.08182249,0.071223296
ZNF91,0.94474876,1.0083314,0.56338304,1.059246,0.81688523,1.0503348,0.95433736
NR2C1,0.35892037,0.30282584,0.22093144,0.45256066,0.37631795,0.3167682,0.28364277
BCL3,0.011135912,0.028907849,0.04170115,0.0057806317,0.0063137845,0.007074468,0.05293933
HIC1,0.0040956633,0.010241703,0.01607422,0.003693138,0.0089655835,0.017542103,0.031270705
MIER1,0.4191385,0.3893824,0.26602292,0.6176015,0.45859775,0.45373496,0.3680226
ZBTB43,0.15629604,0.1781018,0.19537245,0.25396284,0.17137666,0.1323507,0.20763913
BATF3,0.073175035,0.059901588,0.025853757,0.006476329,0.038051516,0.0073053595,0.018981004
KMT2A,0.31925994,0.3999102,0.26117355,0.46536988,0.4666834,0.32794285,0.44203094
ZNF561,0.047978602,0.04727827,0.017420951,0.06807229,0.04432067,0.19707793,0.04772355
KLF8,0.24476086,0.31241336,0.19180796,0.08731328,0.12681578,0.33276516,0.26259005
BCL6,0.053473778,0.053522475,0.16378944,0.067246266,0.053813487,0.074628815,0.092345916
SMAD7,0.03923424,0.030842306,0.023153203,0.15070558,0.12657587,0.031007014,0.024882428
ESRRG,0.6349328,0.3965475,0.25901964,1.7737011,1.2843463,0.35660747,0.3295204
FOXN3,1.3132352,1.5822886,0.84431696,1.637698,1.2569468,1.1469638,1.8646386
ZNF195,0.2196864,0.19481444,0.045802053,0.22051175,0.26090863,0.16213097,0.14298272
ASCL2,0.5643361,0.5883843,1.3065863,0.06035301,0.16718258,0.7781277,0.7267303
ZNF69,0.4066122,0.4809286,0.18572006,0.49564838,0.33765838,0.351288,0.349581
L3MBTL1,0.45951816,0.4619717,0.17417717,0.1374952,0.2584723,0.4374977,0.3745634
ZC3H8,0.19660111,0.14890818,0.059784494,0.27101743,0.27067873,0.2045361,0.11956606
DNMT3A,0.12362601,0.15086138,0.13299946,0.516021,0.24366887,0.41772988,0.17110682
ATF2,0.41300133,0.37181506,0.33594817,0.46954346,0.36761463,0.39127168,0.4500334
AHRR,0.15871468,0.20870766,0.04602492,0.024398362,0.041058872,0.20457907,0.11265644
ZNF347,0.11985792,0.06720811,0.02231507,0.09871557,0.13015339,0.10317577,0.06695482
ZNF765,0.26110864,0.25731915,0.10870454,0.23945658,0.17036101,0.18820427,0.17754784
ZNF124,0.43582216,0.51463413,0.15207146,0.29286772,0.36181635,0.773118,0.32447496
ZNF121,0.25583008,0.28427905,0.19669501,0.2645304,0.33573988,0.6617243,0.20076755
ZNF107,0.21068567,0.25756928,0.12619367,0.26837987,0.28294373,0.224251,0.2037686
DNMT3B,0.09842915,0.015318991,0.033607576,0.124190696,0.33636418,0.0388763,0.020958388
ZNF235,0.132888,0.25548437,0.061886936,0.30879048,0.2227636,0.2476408,0.09680039
ZNF224,0.08426644,0.13499327,0.0183292,0.13079177,0.08464034,0.1777686,0.10386661
E2F2,0.07256381,0.009172911,0.0,0.049559288,0.095535204,0.0,0.009106893
KMT2B,0.19650006,0.20484224,0.090898335,0.18446966,0.26699054,0.26927376,0.1937983
ZNF84,0.106311455,0.09851648,0.09478013,0.23254885,0.15304564,0.1418025,0.11570565
BACH2,0.07814632,0.027731247,0.011963759,0.04408221,0.18517375,0.02021425,0.029158719
RFX1,0.1988906,0.38102365,0.13114496,0.13678719,0.23228957,0.30312142,0.23432584
UBTF,0.17255965,0.12768218,0.12381914,0.110213056,0.16885749,0.14002207,0.13115086
ZBTB20,0.4400255,0.49196473,0.45209178,0.4589099,0.38617933,0.55817866,0.51798224
RORA,0.22296529,0.13590062,0.14446634,0.21617015,0.22803397,0.2812751,0.11625794
TCF21,0.013317565,0.027010009,0.075816154,0.0100209955,0.012233505,0.0,0.01885737
SP6,0.010987498,0.013950036,0.052525714,0.1667016,0.096988305,0.01627833,0.013312058
ZNF451,0.86337566,0.9908936,0.7788056,1.0221357,0.9412848,1.1771067,0.9231295
PBX1,0.40776053,0.29186314,0.4015243,2.426994,1.282125,0.34223393,0.3175336
KLF9,0.014828041,0.0055387462,0.036609195,0.010326491,0.012655558,0.12717637,0.015058854
ZNF668,0.029522333,0.0293575,0.124260396,0.027607867,0.03275459,0.03376727,0.03800565
ZNF718,0.44823498,0.25475973,0.14343837,0.49481532,0.46324578,0.21817975,0.19690408
PBX4,0.05783471,0.25183263,0.31983924,0.015497747,0.03706321,0.27919114,0.5698363
ZNF708,0.32312733,0.33467886,0.1578394,0.3857688,0.30960068,0.27773198,0.22747508
TEAD1,3.2294333,3.578679,2.5168135,1.8984375,2.5047102,3.7231355,3.6117203
ZNF211,0.020560639,0.043130886,0.0226894,0.05434578,0.03265275,0.11495308,0.07298204
NFKB2,0.10131857,0.104103535,0.06497033,0.029317455,0.0759442,0.082259916,0.09157828
XBP1,0.26808494,0.29571366,0.6910057,0.13488248,0.1783778,0.3659038,0.3551744
KLF7,0.05665165,0.06542059,0.08192447,0.07600622,0.095285326,0.042365666,0.11825708
PPARD,1.0913513,0.87090147,0.6552162,1.0125662,1.0425032,1.1379739,0.7860844
TSC22D4,0.08837332,0.16054614,0.21099311,0.07580487,0.09358987,0.20764548,0.1102178
TSC22D1,2.4483087,2.6097355,1.9294696,0.9754654,1.6376432,2.6524904,2.51316
JUN,0.02154475,0.0349525,0.024565816,0.053304248,0.07697732,0.039314285,0.04319686
IRF3,0.2973361,0.4616728,0.3870539,0.2232215,0.24012822,0.49137357,0.40058076
RC3H2,0.38391978,0.48145276,0.34359112,0.53585654,0.44379225,0.3964732,0.4688486
TCF25,0.99176955,1.0049354,0.5541956,1.0121658,1.0143944,1.2301738,0.9168109
FOS,0.9398401,1.414287,1.8240992,0.26064417,0.52463394,0.903435,1.4368144
