,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
LYAR,0.29445386,-0.33735192,-0.3665905,0.23097001,-0.40208122,-0.41423535
IRF1,0.09048389,-0.12219142,-0.20477766,0.107926086,-0.4879565,-0.1460619
ZNF160,-0.027021458,-0.05408512,-0.0377389,-0.04669914,0.6165943,0.11192
ZNF420,-0.10969247,-0.13182437,0.012721882,-0.04321394,1.0885609,0.27367905
ZNF493,0.054245863,-0.002552618,-0.37411177,0.02460347,0.10484594,-0.09785154
CREBL2,0.12941496,-0.16231741,-0.32810706,-0.030953076,-0.05351814,-0.051576365
ZBTB41,-0.07180873,-0.02107761,-0.20567432,-0.10726571,0.5045602,0.2124823
ZNF444,-0.04792359,-0.16009523,-0.09775432,0.16690758,-0.12117367,0.019924749
DNAJC2,0.3134713,-0.30069196,-0.7223954,0.0990274,-0.5538869,-0.34105086
HOPX,-0.13093278,0.052453555,0.018787399,-0.0135718,0.4657197,0.16354701
MEF2A,-0.20698486,-0.03229874,0.8797223,-0.034731764,1.0860962,0.3375756
SOX9,-0.03246695,-0.028212303,-0.032466955,0.009173884,-0.032466955,-0.029737769
JDP2,0.044615712,-0.038532782,-0.13625371,0.079692535,-0.085465744,-0.111243986
USF2,0.14911388,-0.23023926,-0.36495882,0.03489519,-0.24004371,-0.09515928
ATF4,0.29525837,-0.20731053,-0.59626055,0.09943078,-0.73147815,-0.37441593
NFXL1,-0.11493685,-0.09817528,0.3465507,-0.12796672,0.32096723,0.34152842
