,EVT_1,EVT_2,GC,VCT,VCT_CCC,eEVT,iEVT
ZNF652,0.24723232,0.3418609,0.77885073,0.40294454,0.26892927,0.51340204,0.50654435
ATF4,0.72098416,0.68585926,0.5293889,0.537848,0.71676886,0.3139147,0.51356107
NFYB,0.36303183,0.21590754,0.0977088,0.27107424,0.2679212,0.22846727,0.16673182
ZNF552,0.05282284,0.07270249,0.0,0.16022412,0.074423686,0.260883,0.07595908
PBRM1,0.3380855,0.5076438,0.4041983,0.49121246,0.40212792,0.78733426,0.67724556
CREBZF,0.10919862,0.16812922,0.38435242,0.23426178,0.17582247,0.24846973,0.20874645
RFX2,0.13820732,0.36596203,0.36282876,0.11359706,0.122323774,0.21434042,0.43972948
JDP2,0.050047535,0.06122142,0.04864013,0.024726436,0.06678223,0.05269005,0.044965804
FOXJ3,0.6983735,1.2114872,2.0997365,0.58894205,0.5661336,2.4412692,1.7960819
SCX,0.0072561954,0.023257788,0.098322675,0.052831028,0.01818988,0.021785593,0.033681456
PRDM2,0.21136543,0.38097906,0.4308815,0.3497588,0.235631,0.7204775,0.5857769
E2F4,0.2824394,0.18868026,0.036520947,0.41857594,0.37001514,0.17721546,0.16415402
ZNF146,0.23094063,0.21333563,0.23459116,0.2710283,0.27759328,0.18166955,0.23233302
YBX3,0.2011853,0.25079858,0.24699442,0.59393257,0.6295617,0.44251022,0.2836574
ESRRG,0.13990708,0.21810134,0.36133048,0.83095646,0.42894733,0.2546622,0.1945833
ZNF248,0.08557031,0.11311432,0.43367195,0.2119989,0.100729965,0.22083203,0.21534798
ZNF431,0.1776882,0.24006914,0.2029975,0.26727945,0.2174203,0.5722241,0.27367643
BNC2,0.060347337,0.12467612,0.35959625,0.3868275,0.14229374,0.09097867,0.107683614
KAT6A,0.39243448,0.67553884,0.97878927,0.4113857,0.38003665,1.3300153,0.99987984
TEAD4,0.051485594,0.023591576,0.0,0.3146707,0.25806585,0.022606106,0.030424565
FOS,2.3930123,2.1816382,1.7361599,1.4071217,2.1380703,1.0542917,1.9641644
ARID5B,0.6205823,0.613406,0.5481785,1.0402766,0.7377061,0.43087754,0.53230757
ZNF493,0.056700885,0.09010055,0.0,0.08346374,0.06905846,0.10542112,0.05881621
MXD4,0.18278039,0.2415682,0.39371285,0.22814594,0.18259753,0.36337456,0.28986856
ZNF83,0.28686142,0.45308927,0.86711836,0.75785816,0.53228605,0.8857818,0.74877316
ZNF254,0.23480394,0.34324068,0.044371255,0.22161388,0.2083092,0.83342564,0.45326537
MYCL,0.06315961,0.07459089,0.13491154,0.13155834,0.06801757,0.11689732,0.10940167
EGR1,0.23227082,0.31050798,0.04906867,0.44802266,0.5062832,0.034618735,0.18256755
