,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF480,0.105082,yes,no,no,no,no,EVT_1,EVT_1_ZNF480
PBX4,0.039632,yes,no,no,no,no,EVT_1,EVT_1_PBX4
ZNF224,0.057083,no,yes,no,no,no,EVT_1,EVT_1_ZNF224
ARNTL2,0.042484,no,yes,no,no,no,EVT_1,EVT_1_ARNTL2
ZNF653,0.004397,no,yes,no,no,no,EVT_1,EVT_1_ZNF653
ZNF490,0.038579,yes,no,no,no,no,EVT_1,EVT_1_ZNF490
ZBTB20,0.129976,yes,no,no,no,no,EVT_1,EVT_1_ZBTB20
ZFP64,0.092292,yes,no,no,no,no,EVT_1,EVT_1_ZFP64
ALX1,0.010283,yes,no,no,no,no,EVT_1,EVT_1_ALX1
ZNF880,0.075531,yes,no,no,no,no,EVT_1,EVT_1_ZNF880
LRRFIP1,1.182977,yes,no,no,no,no,EVT_1,EVT_1_LRRFIP1
ZNF765,0.17211,yes,no,no,no,no,EVT_1,EVT_1_ZNF765
ZNF383,0.043372,no,yes,no,no,no,EVT_1,EVT_1_ZNF383
GCM1,1.04193,yes,no,yes,no,yes,EVT_1,EVT_1_GCM1
ZNF841,0.023727,yes,no,no,no,no,EVT_1,EVT_1_ZNF841
MTF1,0.146698,yes,no,no,no,no,EVT_1,EVT_1_MTF1
ZNF616,0.028163,yes,no,no,no,no,EVT_1,EVT_1_ZNF616
ZBTB7B,0.067584,no,yes,no,no,no,EVT_1,EVT_1_ZBTB7B
ZNF708,0.097929,yes,no,no,no,no,EVT_1,EVT_1_ZNF708
TBPL1,0.325918,yes,yes,no,no,yes,EVT_1,EVT_1_TBPL1
RCOR3,0.170913,no,yes,no,no,no,EVT_1,EVT_1_RCOR3
MXD3,0.025616,no,yes,no,no,no,EVT_1,EVT_1_MXD3
ARX,0.012648,yes,no,no,no,no,EVT_1,EVT_1_ARX
ZNF680,0.112559,yes,no,no,no,no,EVT_1,EVT_1_ZNF680
DMRTB1,0.0,no,yes,no,no,no,EVT_1,EVT_1_DMRTB1
CEBPB,0.859611,yes,no,no,no,no,EVT_1,EVT_1_CEBPB
FOXN2,0.391971,yes,yes,no,no,yes,EVT_1,EVT_1_FOXN2
MXD1,0.042843,no,yes,no,no,no,EVT_1,EVT_1_MXD1
ZNF273,0.083422,yes,no,no,no,no,EVT_1,EVT_1_ZNF273
GRHL2,0.33885,yes,no,no,no,no,EVT_1,EVT_1_GRHL2
ZNF215,0.044299,yes,no,no,no,no,EVT_1,EVT_1_ZNF215
ARID4A,0.17092,yes,no,no,no,no,EVT_1,EVT_1_ARID4A
ZNF263,0.048639,no,yes,no,no,no,EVT_1,EVT_1_ZNF263
ZNF518A,0.318836,yes,no,no,no,no,EVT_1,EVT_1_ZNF518A
NR6A1,0.781251,yes,no,no,no,no,EVT_1,EVT_1_NR6A1
PPARG,1.256679,yes,no,no,no,no,EVT_1,EVT_1_PPARG
SMARCA5,0.303824,no,yes,no,no,no,EVT_1,EVT_1_SMARCA5
ZNF682,0.07718,yes,no,no,no,no,EVT_1,EVT_1_ZNF682
XBP1,0.90037,yes,no,no,no,no,EVT_1,EVT_1_XBP1
TET1,0.389797,yes,no,no,no,no,EVT_1,EVT_1_TET1
ZBTB7A,0.074238,no,yes,no,no,no,EVT_1,EVT_1_ZBTB7A
STAT2,0.300761,yes,yes,no,no,yes,EVT_1,EVT_1_STAT2
ZNF438,0.131544,yes,no,no,no,no,EVT_1,EVT_1_ZNF438
TWIST2,0.016136,yes,no,no,no,no,EVT_1,EVT_1_TWIST2
ID3,1.407995,yes,no,no,no,no,EVT_1,EVT_1_ID3
TCF7L2,1.647389,yes,no,no,no,no,EVT_1,EVT_1_TCF7L2
SPIC,0.000356,no,yes,no,no,no,EVT_1,EVT_1_SPIC
ZNF785,0.028686,yes,no,no,no,no,EVT_1,EVT_1_ZNF785
ZNF281,0.142764,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF281
PPARA,0.088363,yes,no,no,no,no,EVT_1,EVT_1_PPARA
STAT6,0.103158,yes,no,no,no,no,EVT_1,EVT_1_STAT6
PHTF1,0.067528,no,yes,no,no,no,EVT_1,EVT_1_PHTF1
GZF1,0.017748,no,yes,no,no,no,EVT_1,EVT_1_GZF1
SIX5,0.066529,yes,no,no,no,no,EVT_1,EVT_1_SIX5
TCF12,0.603587,yes,no,no,no,no,EVT_1,EVT_1_TCF12
ZSCAN2,0.029436,yes,no,no,no,no,EVT_1,EVT_1_ZSCAN2
TCF25,1.077977,yes,yes,no,no,yes,EVT_1,EVT_1_TCF25
MTA1,0.049578,no,yes,no,no,no,EVT_1,EVT_1_MTA1
ARNT,0.351561,yes,no,no,no,no,EVT_1,EVT_1_ARNT
HLX,0.003452,no,yes,no,no,no,EVT_1,EVT_1_HLX
ZNF736,0.120505,yes,no,no,no,no,EVT_1,EVT_1_ZNF736
ARID3A,1.408253,yes,no,no,no,no,EVT_1,EVT_1_ARID3A
KLF8,0.132129,yes,no,no,no,no,EVT_1,EVT_1_KLF8
RUNX1,0.228111,yes,no,no,no,no,EVT_1,EVT_1_RUNX1
RUNX2,0.031039,yes,no,no,no,no,EVT_1,EVT_1_RUNX2
ZNF436,0.007461,no,yes,no,no,no,EVT_1,EVT_1_ZNF436
SNAI3,0.003252,yes,no,no,no,no,EVT_1,EVT_1_SNAI3
TBX1,0.030754,yes,no,no,no,no,EVT_1,EVT_1_TBX1
MYCN,0.534124,yes,no,no,no,no,EVT_1,EVT_1_MYCN
IRF9,0.078717,yes,no,no,no,no,EVT_1,EVT_1_IRF9
MLX,0.196988,yes,no,no,no,no,EVT_1,EVT_1_MLX
FOXP4,0.018957,no,yes,no,no,no,EVT_1,EVT_1_FOXP4
ZNF813,0.080951,yes,no,no,no,no,EVT_1,EVT_1_ZNF813
SATB2,0.014843,yes,no,no,no,no,EVT_1,EVT_1_SATB2
HIVEP3,0.110968,yes,no,no,no,no,EVT_1,EVT_1_HIVEP3
HOXB7,0.092323,yes,no,no,no,no,EVT_1,EVT_1_HOXB7
ATF1,0.394032,yes,no,no,no,no,EVT_1,EVT_1_ATF1
OSR2,0.447515,yes,no,no,no,no,EVT_1,EVT_1_OSR2
ZNF32,0.071519,no,yes,no,no,no,EVT_1,EVT_1_ZNF32
TEAD3,0.414928,yes,no,no,no,no,EVT_1,EVT_1_TEAD3
ZBTB1,0.158445,yes,yes,no,no,yes,EVT_1,EVT_1_ZBTB1
HES4,0.14875,yes,yes,no,no,yes,EVT_1,EVT_1_HES4
FOS,2.393012,yes,no,no,no,no,EVT_1,EVT_1_FOS
GTF3A,0.523632,yes,yes,no,no,yes,EVT_1,EVT_1_GTF3A
YBX3,0.201185,no,yes,no,no,no,EVT_1,EVT_1_YBX3
ZNF668,0.049946,yes,no,no,no,no,EVT_1,EVT_1_ZNF668
CREB3,0.224307,yes,no,no,no,no,EVT_1,EVT_1_CREB3
