,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
NRL,-0.011948131,-0.053224623,-0.1481374,0.04468021,0.6010342,0.0053906688
ZNF605,0.010396308,-0.06525706,-0.23042569,0.008558607,-0.0036061183,0.020275239
RORA,-0.08130425,0.087983035,0.171592,-9.326273e-05,0.0070479405,0.059681583
ZNF581,0.21877833,-0.29006436,-0.48725048,0.17812243,-0.48725048,-0.28594118
TSC22D2,-0.089192875,-0.11810418,0.33652028,-0.0068395385,0.102566816,0.20787632
RC3H2,-0.09127516,-0.09648991,-0.023592526,-0.05760795,0.6210867,0.2415118
ZNF8,-0.01544984,-0.022445016,-0.1690208,0.027675003,-0.16902077,0.013393281
ZNF672,0.08459737,-0.17789924,0.097206175,0.116465196,-0.24751075,-0.113093644
ZNF317,-0.00041306939,-0.08530643,-0.043469198,0.060582925,0.4734072,-0.003656881
ZNF836,0.11623716,-0.06377572,0.040483195,-0.054527164,0.12617613,-0.07745873
ZNF2,0.048732292,-0.062853746,-0.15244298,-0.017699102,-0.15244296,-0.011624914
ZNF552,-0.0031155718,-0.07002448,-0.33963534,0.050152805,0.7512647,-0.0005863921
MAFF,0.07598387,-0.091202855,-0.33055368,0.047806606,0.009366855,-0.09305564
THAP6,0.04780551,-0.122444235,-0.3987401,0.02925541,0.035295967,-0.015282424
ZNF415,0.080793925,-0.100644395,-0.20668419,0.012985621,-0.20668419,-0.060953744
TFDP2,0.23857138,-0.43243033,-0.69026417,0.22527285,0.86094385,-0.2755731
ZNF548,0.034087263,-0.066599384,-0.17805032,0.06371419,0.0035581253,-0.06390113
ZFX,-0.11761063,-0.14631395,0.20212622,0.16962756,0.31748137,0.10395915
ZBTB37,-0.03494073,-0.022289127,-0.06271356,-0.004988052,0.5298931,0.06544317
ZNF215,0.025505481,-0.028086629,-0.041416656,-0.11192682,0.5209701,0.08029483
THAP7,0.24841915,-0.27323776,-0.09578345,0.14370419,-0.45970172,-0.31003228
THAP2,0.14451103,-0.11574789,-0.06754204,0.001589574,-0.26913828,-0.13273026
ZBTB24,0.10896904,-0.15701917,-0.19323105,0.055968456,-0.09741181,-0.10567607
ZNF322,0.12865579,-0.16863705,-0.09014509,0.0016182686,0.15164205,-0.07909597
ZNF292,-0.13553014,-0.11801814,0.21734564,0.020888772,0.36892912,0.24763325
ERG,-0.042019434,0.042265773,-0.10662768,-0.03356303,-0.10662769,0.046382558
ZNF319,-0.042775944,-0.06575282,-0.14588174,-0.015063262,-0.14588174,0.11780353
TWIST1,-0.053101774,0.016626786,-0.13406095,0.006833911,-0.13406095,0.060060754
POU4F1,-0.027395543,-0.038329624,-0.042588577,0.0020716311,-0.042588573,-0.03165786
ZNF574,0.09198634,-0.119212195,-0.25440782,0.08407929,-0.25440782,-0.12978615
FOXK2,-0.21032083,-0.040659588,0.26568708,0.01779154,0.29685315,0.3087569
ZNF236,-0.08587415,-0.08584667,-0.22704637,-0.0040433393,0.6047911,0.17892446
AEBP2,-0.18495497,-0.17418393,0.08793881,0.2081386,0.5899766,0.18191172
ZBTB43,-0.108750015,-0.09567456,0.19302654,0.12030359,0.52869123,0.10242626
ZFHX3,-0.2788673,-0.125953,0.50503516,0.040645063,0.48278186,0.4384866
ZNF880,0.22662547,-0.13159646,-0.38959548,0.0028166738,-0.25543386,-0.2402821
CIC,-0.03881033,-0.040502056,-0.2976461,0.04399946,0.11714619,0.042094745
ZBED5,0.0023510524,-0.16545212,-0.015834093,0.13321087,0.06996354,-0.019938726
ZNF594,-0.011042508,-0.071476996,-0.15256824,0.060875654,0.06170241,0.0058101565
ZNF559,0.1127423,-0.091921315,-0.22404817,0.044158384,-0.22404817,-0.1409106
POU2F1,-0.086607374,-0.041695464,0.23803,-0.0022460956,0.3584163,0.1494736
NFATC2,-0.10867074,-0.03445518,-0.17304441,0.15359469,-0.17304437,0.039715473
PKNOX1,0.134906,-0.08840625,-0.67474204,-0.05908488,-0.07895194,-0.07907409
ZNF846,-0.027488634,-0.05419634,0.33129767,-0.16967644,1.5098501,0.21684438
ZBTB6,-0.032771066,-0.007458046,0.22548886,0.02095325,-0.0014391073,0.03087917
CREBZF,-0.04382332,-0.09431013,0.29405484,0.03285803,0.2798694,0.08975996
NFX1,-0.09969191,-0.07489751,0.059396543,-0.00064523006,0.19582987,0.19029768
MAFK,-0.23849432,0.01836498,0.13200024,-0.024347987,0.40091643,0.34999874
TP53,0.20256622,-0.23509583,-0.5145942,0.112016186,-0.18622006,-0.23936164
ZNF189,0.015073241,-0.027727993,-0.19904217,0.032948002,-0.1990422,-0.03159274
