,gene,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencySecondBest,geneFrequencyGlobal,secondBestClusterName,tfidf,idf,qval
98,SELENOM,0,0.808290155,0.275301947,0.883040936,0.364060317,14,0.816725244,1.010435718,0
99,PCSK6,0,0.793856403,0.27029825,0.754385965,0.357486236,14,0.816607073,1.02865842,0
100,WNT7A,0,0.811374291,0.276534385,0.65497076,0.365601118,14,0.816414858,1.006212383,0
101,ATP13A2,0,0.694547249,0.231944787,0.678362573,0.308981839,14,0.815726836,1.174472777,0
102,PROCR,0,0.58758944,0.182105004,0.67251462,0.249630208,14,0.815441714,1.387774625,0
103,ANKRD24,0,0.428571429,0.094182894,0.304093567,0.149868518,14,0.813427249,1.897996913,0
104,C4orf48,0,0.843942758,0.291841262,0.923976608,0.383782562,14,0.808226367,0.957679131,0
105,ELOVL2,0,0.345299778,0.047079123,0.426900585,0.096741721,14,0.806520325,2.335710524,0
106,KLHL5,0,0.457068838,0.114197683,0.695906433,0.171295916,14,0.806435216,1.764362716,0
107,HIP1,0,0.374660745,0.065639635,0.432748538,0.11710083,14,0.803542364,2.144719921,0
108,GRK4,0,0.340365162,0.045205817,0.502923977,0.094358616,14,0.803483934,2.36065269,0
109,DNAJC10,0,0.648902048,0.218461918,0.713450292,0.290142986,14,0.802939338,1.237381421,0
110,GLIPR1,0,0.350481125,0.05168844,0.637426901,0.101446298,14,0.801979919,2.288225705,0
111,ADAM8,0,0.551566741,0.170618684,0.701754386,0.234057852,14,0.80097803,1.452186964,0
112,EFNA4,0,0.537009623,0.163544491,0.578947368,0.22573753,14,0.799275632,1.488382327,0
113,PRKAG2,0,0.736861584,0.259354203,0.795321637,0.338873367,14,0.797379135,1.082128791,0
114,CSH2,0,0.538983469,0.16652699,0.68989547,0.228552059,13,0.795534894,1.475991267,0
115,PHLDA1,0,0.448803356,0.117130885,0.590643275,0.172364204,14,0.789061634,1.758145575,0
116,SNAI1,0,0.518874907,0.158935174,0.549707602,0.218875832,14,0.78830106,1.519250687,0
117,CD9,0,0.616086849,0.211338427,0.667648503,0.278741063,7,0.78703371,1.277472016,0
118,FLNA,0,0.728226005,0.261671186,0.65497076,0.339366423,14,0.786975538,1.080674862,0
119,MYL9,0,0.347150259,0.055139265,0.450292398,0.103767771,14,0.786503576,2.265599852,0
120,ANXA6,0,0.615223291,0.211338427,0.573099415,0.278597255,14,0.786248026,1.277988069,0
