,VCT_CCC,EVT_1,EVT_2,eEVT,iEVT,GC,Cluster
CCL26,-0.5676107558061086,-0.24143019282815323,-0.11987291866262426,-0.6317734831832977,2.192460833663482,-0.6317734831832977,2
RAMP3,-0.16952137864966862,-0.0626498859477536,0.7719127561684939,-1.117497714023783,1.6952539364764938,-1.117497714023783,2
CCDC47,1.3840383096768343,1.067947150963873,-0.43723094017732667,-1.429847658570957,0.22582911737150763,-0.8107359792639319,4
PDGFB,1.273518226759413,-0.3069277217571587,-0.07993963105018655,-1.1136279599021461,1.3406050458522256,-1.1136279599021461,2
IGFLR1,0.42629516180987137,1.8629367756845185,0.20623561074700472,-1.0273644054137436,-0.44073873741390684,-1.0273644054137436,4
TNFRSF25,-1.6606402658444122,-1.0141352237159913,0.5763054280659458,0.7357682251461237,1.1351364845643979,0.22756535178393655,3
BST2,-1.2222029742228107,-0.047398362267454384,-0.02018705472765339,-1.1920496711378084,1.2784907328836081,1.2033473294721184,3
HLA-G,-1.9657212351954099,0.23176317936159435,0.2216335816524823,-0.17191009964243822,0.30117908457857284,1.3830554892451967,3
EFNA3,-0.02710283387949224,1.9110702375216748,0.45371926911421107,-1.0100324925520903,-0.3176216876522127,-1.0100324925520903,4
TMEM219,0.09633086755072674,1.7924557938762098,0.2305900245345,-1.1447989613864429,0.19797944244114926,-1.1725571670161425,4
LRP6,0.16454257493056787,-0.2393569411699619,-0.023539103066975584,0.9580497425978118,1.0912833099966206,-1.9509795832880639,7
CCR3,-0.44531427917660404,-0.8192818919799412,-0.711847530084859,1.9575486692105775,-0.6196670064292096,0.638562038460036,6
JAM3,-0.10965101771194188,1.4476276321019408,0.9745017510791927,-1.355938998808073,-1.046883296322011,0.0903439296608889,4
SIRPB1,1.7953518870785414,0.34651922900851445,0.5007009231433251,-0.9950250716219222,-0.6525218959865368,-0.9950250716219222,0
EPHB3,-1.5641582273865036,-0.6937360591010592,0.45654705824484193,1.6613945376531307,0.28640060001770107,-0.14644790942811095,1
BDNF,0.6513818357608017,-0.353690213229344,0.24478544233716698,-1.1200266994057548,1.6975763339428858,-1.1200266994057548,2
TGFA,-0.34790029827746616,0.5837959815220259,0.2619072493796918,-1.1134705582520485,1.7291381838798459,-1.1134705582520485,2
