,Empty_droplet_sum,Nuclei_sum,Soup_probability,Selected
ALDH7A1,19618.0,49187.0,0.2851246275706707,True
ALDH8A1,386.0,610.0,0.3875502008032128,False
ALDH9A1,5045.0,6508.0,0.4366831126114429,False
ALDOA,586.0,1164.0,0.3348571428571428,True
ALDOB,44.0,51.0,0.4631578947368421,False
ALDOC,101.0,130.0,0.4372294372294372,False
ALG1,1916.0,2981.0,0.3912599550745354,False
ALG10,1088.0,1468.0,0.4256651017214397,False
ALG10B,5020.0,5768.0,0.4653318502039303,False
ALG11,3007.0,6592.0,0.3132617981039691,True
ALG12,2619.0,4552.0,0.365221029145168,False
ALG13,29166.0,49534.0,0.3705972045743329,False
ALG13-AS1,1049.0,3245.0,0.2442943642291569,True
ALG14,6958.0,14557.0,0.3234022774808273,True
ALG1L,69.0,127.0,0.3520408163265306,True
ALG1L2,945.0,2423.0,0.2805819477434679,True
ALG1L9P,110.0,159.0,0.4089219330855018,False
ALG2,5215.0,6278.0,0.4537544592360567,False
ALG3,3814.0,5728.0,0.3997065604695032,False
ALG5,11674.0,19642.0,0.3727806871886575,False
ALG6,5880.0,9509.0,0.3820911040353499,False
ALG8,7888.0,14628.0,0.3503286551785397,True
ALG9,2180.0,3772.0,0.366263440860215,False
ALG9-IT1,20.0,62.0,0.2439024390243902,True
ALK,1793.0,3843.0,0.3181334279630944,True
ALKAL1,35.0,71.0,0.330188679245283,True
ALKAL2,477.0,370.0,0.5631641086186541,False
ALKBH1,5322.0,10891.0,0.3282551039289459,True
ALKBH2,1031.0,1700.0,0.377517392896375,False
ALKBH3,3478.0,6134.0,0.3618393674573449,False
ALKBH3-AS1,112.0,361.0,0.2367864693446088,True
ALKBH4,1266.0,2480.0,0.3379604911906033,True
ALKBH5,6838.0,14140.0,0.3259605300791305,True
