,VCT,VCT_CCC,EVT_1_like,EVT_early,EVT_mid,iEVT,EVT_late
CREM,0.36273628,0.17453934,0.25686347,0.17903726,0.20575938,0.19808592,0.27371114
THAP8,0.022684395,0.013066923,0.014502276,0.018199787,0.01785212,0.0059685577,0.025570381
ZBTB7C,0.08576588,0.011229722,0.000836258,0.0023348418,0.0013189714,0.0015121854,0.0006089324
ZNF487,0.011466136,0.012451193,0.0082984045,0.009312662,0.007425939,0.009333561,0.006126587
ZBTB25,0.05376376,0.047806572,0.04617914,0.056389797,0.041269246,0.04449976,0.021006927
ZSCAN32,0.040504415,0.03588566,0.036303822,0.033473514,0.03186357,0.04777055,0.036034174
CREBZF,0.20721819,0.29680234,0.23791039,0.265597,0.16909519,0.26083735,0.08230152
JUNB,0.47428507,0.3569055,0.17247514,0.46989155,0.263429,0.22807752,0.17035694
YBX1,1.8138573,1.8527839,2.19745,1.6048708,2.0124943,1.1484382,2.276798
ARNT,0.16380298,0.14136375,0.20567328,0.17635542,0.19220643,0.26468387,0.124517016
TOX4,0.4057418,0.3384761,0.33957502,0.3533227,0.3098491,0.27902076,0.32683915
EGR3,0.023251317,0.008973433,0.0109558655,0.007702353,0.0047537093,0.01484054,0.0007901277
NFYC,0.2538442,0.19196619,0.21772265,0.17940064,0.1395406,0.15127969,0.12874863
ZNF25,0.004974229,0.0060004056,0.005156853,0.0053988085,0.004713694,0.0039141346,0.0011165364
ARNTL2,0.063816845,0.07249018,0.029799366,0.029578026,0.024864893,0.063246615,0.028948223
TOX,0.009049964,0.0026241832,0.0015561017,0.0010417384,0.0003358113,0.0,0.0002857986
ZNF552,0.08534803,0.068651915,0.052885275,0.059389327,0.042399243,0.0848167,0.034930773
KAT8,0.15589836,0.109639995,0.117909774,0.08931004,0.06663806,0.07079727,0.043206774
ZNF311,0.001852066,0.0010736762,0.0017754065,0.0016245748,0.0024639901,0.00596028,0.0005166492
NFKBIZ,0.28103292,0.12669513,0.12684251,0.21252304,0.21105239,0.3138588,0.068573676
ZNF551,0.035410196,0.025852744,0.023132052,0.014108056,0.013524384,0.023713311,0.005588422
ZNF664,0.08677682,0.077340566,0.053208504,0.060105097,0.047533613,0.11143251,0.038628712
PPP1R13L,0.3247068,0.32748082,0.25041732,0.37496588,0.24880807,0.3661992,0.19352306
SP3,0.27341646,0.2879731,0.26276347,0.34174722,0.23023851,0.35026783,0.12415101
SOX7,0.080193445,0.034220044,0.0034925756,0.011389134,0.0017851972,0.0097854,0.001987437
GABPA,0.14400999,0.11651293,0.11667593,0.12527764,0.092616156,0.18402815,0.073408395
SMARCA1,0.5981362,0.81522155,0.5301825,0.6523108,0.3923488,0.6135486,0.22816025
ZBTB6,0.032393098,0.045003638,0.04414722,0.04713425,0.03767695,0.07216907,0.021902641
TRPS1,0.00084771897,0.00033935817,0.0008740774,0.00037192216,0.00019257437,0.0,0.0
E2F4,0.42077824,0.25094736,0.31792992,0.18213546,0.2432818,0.37140548,0.22332565
HMGA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGXB4,0.30825794,0.28856325,0.34897125,0.2511551,0.22598445,0.34507293,0.25435272
ZNF595,0.07263164,0.068155065,0.056592267,0.06007339,0.038537834,0.030757885,0.016617889
ZNF770,0.20121408,0.19191124,0.16020226,0.18497746,0.1256267,0.1948429,0.1113998
TFAP2A,0.9538542,1.0495585,1.0575876,1.2660097,1.0230154,0.8032587,0.5974107
PHF5A,0.3161611,0.18397647,0.25609595,0.16726252,0.17625555,0.11508212,0.14500599
LHX4,0.0155911585,0.024764601,0.0258666,0.022901345,0.007477161,0.022406694,0.002148814
SOX12,0.01780076,0.049005598,0.020277455,0.037027285,0.035043083,0.062430676,0.03339137
ZFP14,0.04031525,0.045139607,0.02913486,0.03152886,0.017985286,0.018589467,0.008767733
ZNF548,0.024418207,0.020326441,0.019090319,0.023105199,0.016277261,0.027581312,0.010964387
ARNT2,0.0016588619,0.0035716817,0.029923826,0.013545448,0.033323716,0.0022680927,0.0037592417
THAP3,0.06492514,0.052635096,0.05110317,0.05496055,0.045383543,0.059872374,0.097903214
ZNF345,0.023335114,0.029925652,0.022209683,0.025517005,0.017743299,0.026996495,0.019301461
OSR2,0.06299235,0.07045475,0.056076825,0.08678558,0.046145685,0.03469839,0.015639093
ARID3B,0.19922027,0.18887904,0.16047263,0.21051563,0.16817161,0.2997085,0.113199025
THAP4,0.123685494,0.083412305,0.09653254,0.064774536,0.07868416,0.053516332,0.08255305
TFDP2,0.7267967,0.5301034,0.50086,0.37213534,0.34094083,0.43065932,0.68489295
IRF6,0.23944339,0.181912,0.08706285,0.14249809,0.07781373,0.085438885,0.045296557
MESP1,0.007569223,0.0038208324,0.00024544497,0.0016088638,0.0006745522,0.0,0.0
ZNF544,0.08559757,0.060599845,0.064823866,0.047705065,0.039594036,0.06908225,0.02767358
SMAD2,0.28003082,0.28226328,0.26530614,0.28908685,0.222202,0.31550273,0.16647111
IRX3,0.0001638098,0.0005479539,0.00066637184,0.0,0.0,0.0,0.0
REL,0.3054919,0.36841074,0.43365297,0.5529434,0.31978133,0.46086267,0.20789242
ZSCAN26,0.016902884,0.025763197,0.03030909,0.027858831,0.018348826,0.031128466,0.018121798
GATA2,0.6582896,0.79744416,1.3340353,0.9256017,1.3341539,1.6607896,1.1947386
ZBED1,0.12832132,0.12125538,0.098083876,0.09006479,0.06957549,0.12922476,0.05839015
ZNF689,0.026189607,0.021820568,0.025958199,0.014330261,0.01380737,0.016931383,0.018110264
TFAP2B,0.031661175,0.013768721,0.02141274,0.007358061,0.012384102,0.017329162,0.006783352
CIC,0.066693045,0.052029755,0.045926083,0.0583004,0.047585905,0.11345896,0.04272911
ETS1,0.001239041,0.0073456173,0.014855312,0.005577784,0.04132424,0.03383251,0.015708262
ZBTB14,0.037248738,0.029982425,0.03851545,0.02890081,0.025641533,0.013068729,0.013786283
TFAM,0.53434944,0.38844457,0.43430832,0.29065576,0.25705823,0.25776502,0.23859943
CLOCK,0.10514315,0.07271304,0.08407916,0.07269399,0.09715374,0.25174072,0.08630566
ZNF195,0.0753197,0.08280732,0.069986545,0.057553474,0.06085977,0.12452781,0.11604494
ZNF485,0.007927142,0.01417144,0.010583606,0.0076901084,0.0077546528,0.005310914,0.007440035
ZNF627,0.025462294,0.023136338,0.022926923,0.023978233,0.019861868,0.04132483,0.018200193
BACH2,0.0010832852,0.0071632266,0.0016396735,0.0022593837,0.0029135947,0.0053717564,0.0024370656
FOXK2,0.18026473,0.17098258,0.15370214,0.17571127,0.13857023,0.22229487,0.1229598
ZBED5,0.11984314,0.13413131,0.09185722,0.08969947,0.05614236,0.13894723,0.048975445
ZBTB21,0.09906736,0.09752798,0.121995345,0.11608464,0.08770728,0.23736824,0.05976316
NFKB2,0.08100119,0.10354928,0.09242557,0.14125328,0.10335621,0.11087719,0.0764157
ZXDB,0.028989855,0.023042204,0.013881447,0.02586665,0.014818342,0.031329677,0.0051945164
