,VCT_CCC,EVT_early,EVT,iEVT
ZNF254,0.04008859,0.10023964,0.022206595,0.5562878
ELK4,0.11657737,0.08029089,-0.11956271,0.14740065
ZNF641,-0.062008787,-0.05419354,0.116627865,0.44806436
ARID2,0.004707833,-0.06990216,-0.09797974,0.25776073
DMTF1,0.044394705,-0.02981662,-0.03784452,0.43647742
NFAT5,0.0012828443,-0.11557677,-0.21705313,1.0940888
ASCL1,0.0010213024,-0.011677138,-0.014011092,0.038100827
ZBTB46,-0.061484724,-0.023879144,0.009949616,0.15630011
TBX1,0.08506794,-0.029440017,0.020218823,0.36230925
ZNF195,0.08554179,-0.027561938,0.0012169395,0.28865018
NR2C1,-0.01563033,-0.050160367,0.06720404,0.41382986
MLX,-0.14445624,-0.046395026,0.108553804,0.23177154
ZNF808,0.067965016,0.12553479,-0.056985274,0.13801211
RFX7,0.035669077,-0.069415085,-0.092392445,0.5519605
TONSL,0.053300586,-0.045569416,-0.12521385,0.04203678
ZNF655,0.059999667,-0.0684213,-0.045454595,0.7888167
DMAP1,-0.119663775,-0.07944883,-0.077701256,0.13338467
ZNF333,0.053645663,0.01438206,-0.021998862,0.47302184
KAT6B,0.0768834,0.2116631,-0.043192476,0.14522888
IRX2,0.5847041,0.3903904,-0.28326982,-0.4726804
ETS1,-0.046325855,-0.048256848,0.3026155,0.23186961
ZNF273,0.056511406,0.023437826,0.014855198,-0.080347426
SOX4,0.17003246,0.23704262,0.24703531,0.9010972
ZSCAN5A,-0.003534928,-0.03386516,0.024452336,-0.07696916
ZNF284,0.011325114,-0.003350846,-0.022813316,-0.067351595
ATF6,-0.027674714,0.051604014,0.090809904,0.16175216
ZNF519,0.12702818,0.0739412,-0.06505655,-0.039952222
HOXA9,-0.023255384,-0.029741028,-0.029955601,0.095540725
ZNF664,0.050025746,-0.036224846,-0.09371049,0.21051295
SP110,-0.07258752,-0.04871509,0.1676942,0.18217447
SIX4,-0.021581436,-0.0987319,-0.12735847,0.1434112
ZNF525,0.04522555,0.1124993,-0.17850383,-0.18620025
ZNF552,0.0074275755,-0.04122127,-0.11952879,0.083793335
TGIF1,-0.112078935,0.13312314,0.19073509,-0.3089206
TEAD1,0.05321094,0.14470097,0.51470375,2.045435
L3MBTL1,-0.012063231,0.0965641,0.123549595,1.025077
HOXB8,-0.02083083,-0.019134108,0.005851852,0.10601511
ZNF316,0.06833151,0.021691723,-0.06850009,0.023408413
ZBED4,0.052050415,0.08074757,0.01434131,0.26036993
ZNF507,0.059035905,0.041980304,-0.15138099,0.1988478
